date,quarter,year,quarter_num,department,region,revenue,expenses,employees,performance_score,simulated_customers,profit,profit_margin,customer_satisfaction,growth_rate,market_share,roi,expense_efficiency,revenue_per_customer,customer_growth_rate,nps,esg_score,rolling_revenue_avg,rolling_profit_avg,forecasted_revenue,profit_volatility,ytd_revenue,ytd_profit,region_competitiveness_index,profit_rank
2020-01-01,2020-Q1,2020,1,AI,Asia Pacific,28885641.35,14068554.24,33805,95.99,1691727,14817087.11,51.3,72,0.0,13.2,105.32,2.05,17.07,0.0,65,73.48,28885641.35,14817087.11,28885641.35,0.0,28885641.35,14817087.11,42.86,3.0
2020-04-01,2020-Q2,2020,2,AI,Asia Pacific,39908262.74,13124396.81,8238,97.88,353338,26783865.93,67.11,79,38.16,10.38,204.08,3.04,112.95,-79.11,95,94.52,34396952.05,20800476.52,28885641.35,8461790.45,68793904.1,41600953.04,28.57,2.0
2020-07-01,2020-Q3,2020,3,AI,Asia Pacific,53797953.04,24196864.77,13027,87.67,1229604,29601088.27,55.02,94,34.8,15.52,122.33,2.22,43.75,248.0,94,71.45,40863952.38,23734013.77,34396952.05,7849705.17,122591857.13,71202041.31,28.57,2.0
2020-10-01,2020-Q4,2020,4,AI,Asia Pacific,75840696.26,45843364.1,15423,74.74,241338,29997332.16,39.55,99,40.97,17.56,65.43,1.65,314.25,-80.37,69,82.69,49608138.35,25299843.37,40863952.38,7133433.26,198432553.39,101199373.46,71.43,5.0
2021-01-01,2021-Q1,2021,1,AI,Asia Pacific,20004798.09,7911583.55,34456,72.93,1489767,12093214.54,60.45,74,-73.62,5.58,152.85,2.53,13.43,517.29,67,75.84,47387927.53,24618875.22,49608138.35,8472103.36,20004798.09,12093214.54,42.86,3.0
2021-04-01,2021-Q2,2021,2,AI,Asia Pacific,26324095.77,9296856.85,8699,97.71,1521983,17027238.91,64.68,82,31.59,7.51,183.15,2.83,17.3,2.16,20,71.1,43991885.79,22179718.47,47387927.53,9027318.18,46328893.86,29120453.45,14.29,1.0
2021-07-01,2021-Q3,2021,3,AI,Asia Pacific,69979207.64,32524340.93,42160,94.08,1736869,37454866.71,53.52,95,165.84,20.3,115.16,2.15,40.29,14.12,51,64.18,48037199.44,24143163.08,43991885.79,11652043.96,116308101.5,66575320.16,71.43,5.0
2021-10-01,2021-Q4,2021,4,AI,Asia Pacific,86744926.9,54130735.3,28417,86.62,537239,32614191.6,37.6,76,23.96,17.01,60.25,1.6,161.46,-69.07,2,62.12,50763257.1,24797377.94,48037199.44,12152989.01,203053028.4,99189511.76,85.71,6.0
2022-01-01,2022-Q1,2022,1,AI,Asia Pacific,57204847.25,29574295.04,40332,84.09,827933,27630552.21,48.3,89,-34.05,14.69,93.43,1.93,69.09,54.11,69,70.07,60063269.39,28681712.36,50763257.1,8743842.01,57204847.25,27630552.21,42.86,3.0
2022-04-01,2022-Q2,2022,2,AI,Asia Pacific,45043695.37,26335406.59,47941,94.12,1848283,18708288.79,41.53,73,-21.26,11.89,71.04,1.71,24.37,123.24,53,76.14,64743169.29,29101974.83,60063269.39,8006253.05,102248542.62,46338840.99,71.43,5.0
2022-07-01,2022-Q3,2022,3,AI,Asia Pacific,84802677.54,40638929.66,16918,99.39,1930621,44163747.88,52.08,85,88.27,19.65,108.67,2.09,43.93,4.45,17,85.14,68449036.77,30779195.12,64743169.29,10616562.48,187051220.16,90502588.88,57.14,4.0
2022-10-01,2022-Q4,2022,4,AI,Asia Pacific,45812359.63,19747195.41,15924,78.87,520333,26065164.22,56.9,88,-45.98,12.34,131.99,2.32,88.04,-73.05,79,67.18,58215894.95,29141938.27,68449036.77,10743472.93,232863579.79,116567753.1,28.57,2.0
2023-01-01,2023-Q1,2023,1,AI,Asia Pacific,27867391.6,12477105.54,48293,87.56,512997,15390286.06,55.23,81,-39.17,7.7,123.35,2.23,54.32,-1.41,72,89.08,50881531.04,26081871.74,58215894.95,12853459.38,27867391.6,15390286.06,57.14,4.0
2023-04-01,2023-Q2,2023,2,AI,Asia Pacific,79303320.25,39430723.3,46749,96.32,395364,39872596.95,50.28,72,184.57,19.53,101.12,2.01,200.58,-22.93,2,98.58,59446437.26,31372948.78,50881531.04,13158858.17,107170711.85,55262883.0,71.43,5.0
2023-07-01,2023-Q3,2023,3,AI,Asia Pacific,61062621.54,41160072.67,5444,90.56,1013546,19902548.87,32.59,99,-23.0,13.13,48.35,1.48,60.25,156.36,83,65.74,53511423.26,25307649.02,59446437.26,10650207.09,168233333.39,75165431.87,85.71,6.0
2023-10-01,2023-Q4,2023,4,AI,Asia Pacific,39573977.11,23402260.45,11310,84.1,318588,16171716.66,40.86,71,-35.19,9.4,69.1,1.69,124.22,-68.57,53,99.22,51951827.63,22834287.13,53511423.26,11528256.41,207807310.51,91337148.53,85.71,6.0
2024-01-01,2024-Q1,2024,1,AI,Asia Pacific,54354779.77,29644445.3,19242,82.74,1041010,24710334.46,45.46,75,37.35,14.03,83.36,1.83,52.21,226.76,15,69.46,58573674.67,25164299.23,51951827.63,10409813.7,54354779.77,24710334.46,57.14,4.0
2024-04-01,2024-Q2,2024,2,AI,Asia Pacific,73380697.55,40532711.86,21429,94.27,1464116,32847985.7,44.76,86,35.0,14.29,81.04,1.81,50.12,40.64,22,66.08,57093018.99,23408146.42,58573674.67,7198643.14,127735477.32,57558320.16,85.71,6.0
2024-07-01,2024-Q3,2024,3,AI,Asia Pacific,50909030.22,17670446.34,25278,98.65,1031597,33238583.88,65.29,76,-30.62,11.66,188.1,2.88,49.35,-29.54,97,87.86,54554621.16,26742155.18,57093018.99,8069432.41,178644507.54,90796904.04,14.29,1.0
2024-10-01,2024-Q4,2024,4,AI,Asia Pacific,43643275.74,18913220.46,8960,98.22,680634,24730055.28,56.66,72,-14.27,10.1,130.76,2.31,64.12,-34.02,77,68.72,55571945.82,28881739.83,54554621.16,4807990.01,222287783.28,115526959.32,42.86,3.0
2020-01-01,2020-Q1,2020,1,Android,Asia Pacific,36619557.86,18041937.08,31906,90.18,1228585,18577620.78,50.73,73,0.0,16.74,102.97,2.03,29.81,0.0,81,74.33,36619557.86,18577620.78,36619557.86,0.0,36619557.86,18577620.78,57.14,4.0
2020-04-01,2020-Q2,2020,2,Android,Asia Pacific,27864871.71,9015514.12,11525,76.8,787478,18849357.59,67.65,89,-23.91,7.25,209.08,3.09,35.38,-35.9,33,89.5,32242214.78,18713489.18,36619557.86,192146.95,64484429.57,37426978.37,14.29,1.0
2020-07-01,2020-Q3,2020,3,Android,Asia Pacific,40900094.94,26690346.62,45502,72.97,1624102,14209748.32,34.74,91,46.78,11.8,53.24,1.53,25.18,106.24,12,83.66,35128174.84,17212242.23,32242214.78,2603783.3,105384524.51,51636726.69,100.0,7.0
2020-10-01,2020-Q4,2020,4,Android,Asia Pacific,74090920.04,41086558.19,7315,96.61,1629807,33004361.85,44.55,92,81.15,17.16,80.33,1.8,45.46,0.35,89,82.17,44868861.14,21160272.13,35128174.84,8177258.23,179475444.55,84641088.54,42.86,3.0
2021-01-01,2021-Q1,2021,1,Android,Asia Pacific,65994625.76,25546568.28,20325,75.63,1680568,40448057.48,61.29,79,-10.93,18.41,158.33,2.58,39.27,3.11,34,93.36,52212628.11,26627881.31,44868861.14,12197981.14,65994625.76,40448057.48,28.57,2.0
2021-04-01,2021-Q2,2021,2,Android,Asia Pacific,27516312.69,15244815.45,8784,70.5,566066,12271497.25,44.6,98,-58.31,7.85,80.5,1.8,48.61,-66.32,89,94.42,52125488.36,24983416.22,52212628.11,13918279.37,93510938.45,52719554.73,85.71,6.0
2021-07-01,2021-Q3,2021,3,Android,Asia Pacific,83237659.35,25469698.01,29141,93.31,452561,57767961.34,69.4,98,202.5,24.15,226.81,3.27,183.93,-20.05,30,62.46,62709879.46,35872969.48,52125488.36,18846577.94,176748597.8,110487516.06,14.29,1.0
2021-10-01,2021-Q4,2021,4,Android,Asia Pacific,64495756.48,36236872.83,33149,81.49,1723748,28258883.65,43.82,97,-22.52,12.65,77.98,1.78,37.42,280.89,7,97.71,60311088.57,34686599.93,62709879.46,19232749.87,241244354.28,138746399.71,42.86,3.0
2022-01-01,2022-Q1,2022,1,Android,Asia Pacific,65247295.05,33395939.26,47207,75.46,139838,31851355.78,48.82,80,1.17,16.76,95.37,1.95,466.59,-91.89,59,69.54,60124255.89,32537424.5,60311088.57,18850856.73,65247295.05,31851355.78,28.57,2.0
2022-04-01,2022-Q2,2022,2,Android,Asia Pacific,68883773.07,25371498.96,10838,96.22,903293,43512274.11,63.17,75,5.57,18.18,171.5,2.72,76.26,545.96,9,86.54,70466120.99,40347618.72,60124255.89,13314245.25,134131068.12,75363629.89,28.57,2.0
2022-07-01,2022-Q3,2022,3,Android,Asia Pacific,45915029.88,27362456.38,33778,87.83,1702184,18552573.5,40.41,98,-33.34,10.64,67.8,1.68,26.97,88.44,38,75.06,61135463.62,30543771.76,70466120.99,10310211.42,180046098.0,93916203.39,85.71,6.0
2022-10-01,2022-Q4,2022,4,Android,Asia Pacific,26926220.52,8094145.97,10702,97.6,550108,18832074.55,69.94,91,-41.36,7.25,232.66,3.33,48.95,-67.68,39,83.65,51743079.63,28187069.49,61135463.62,11953079.57,206972318.51,112748277.95,14.29,1.0
2023-01-01,2023-Q1,2023,1,Android,Asia Pacific,70515453.81,37845933.69,18693,85.93,1991935,32669520.12,46.33,76,161.88,19.48,86.32,1.86,35.4,262.1,22,63.31,53060119.32,28391610.57,51743079.63,12043343.33,70515453.81,32669520.12,85.71,6.0
2023-04-01,2023-Q2,2023,2,Android,Asia Pacific,76568479.53,42314236.89,26773,76.39,1142964,34254242.64,44.74,90,8.58,18.86,80.95,1.81,66.99,-42.62,97,73.47,54981295.93,26077102.7,53060119.32,8552476.4,147083933.34,66923762.76,85.71,6.0
2023-07-01,2023-Q3,2023,3,Android,Asia Pacific,87952308.39,60040150.85,41829,82.46,210391,27912157.54,31.74,81,14.87,18.91,46.49,1.46,418.04,-81.59,55,94.76,65490615.56,28416998.71,54981295.93,6935007.59,235036241.73,94835920.3,100.0,7.0
2023-10-01,2023-Q4,2023,4,Android,Asia Pacific,94185841.83,40126875.83,49703,97.17,385991,54058966.0,57.4,85,7.09,22.36,134.72,2.35,244.01,83.46,56,67.34,82305520.89,37223721.57,65490615.56,11542519.01,329222083.56,148894886.3,42.86,3.0
2024-01-01,2024-Q1,2024,1,Android,Asia Pacific,58637128.23,38389832.56,29548,94.11,1311791,20247295.67,34.53,71,-37.74,15.14,52.74,1.53,44.7,239.85,91,99.43,79335939.5,34118165.46,82305520.89,14474916.31,58637128.23,20247295.67,100.0,7.0
2024-04-01,2024-Q2,2024,2,Android,Asia Pacific,50383398.77,17422895.81,38522,72.94,474299,32960502.96,65.42,94,-14.08,9.81,189.18,2.89,106.23,-63.84,5,65.62,72789669.3,33794730.54,79335939.5,14485312.46,109020527.0,53207798.63,14.29,1.0
2024-07-01,2024-Q3,2024,3,Android,Asia Pacific,54700861.33,25645916.55,8863,98.72,390576,29054944.77,53.12,90,8.57,12.53,113.29,2.13,140.05,-17.65,39,79.44,64476807.54,34080427.35,72789669.3,14341167.37,163721388.32,82262743.4,85.71,6.0
2024-10-01,2024-Q4,2024,4,Android,Asia Pacific,27978937.72,9849441.27,37116,87.48,1169118,18129496.45,64.8,81,-48.85,6.47,184.07,2.84,23.93,199.33,96,74.93,47925081.51,25098059.96,64476807.54,7060824.76,191700326.04,100392239.85,28.57,2.0
2020-01-01,2020-Q1,2020,1,Cloud,Asia Pacific,25876880.51,17040235.87,27979,86.93,585757,8836644.63,34.15,73,0.0,11.83,51.86,1.52,44.18,0.0,18,82.29,25876880.51,8836644.63,25876880.51,0.0,25876880.51,8836644.63,100.0,7.0
2020-04-01,2020-Q2,2020,2,Cloud,Asia Pacific,68415237.86,24385208.61,44615,88.69,1167880,44030029.25,64.36,85,164.39,17.79,180.56,2.81,58.58,99.38,59,78.12,47146059.18,26433336.94,25876880.51,24885480.91,94292118.37,52866673.88,42.86,3.0
2020-07-01,2020-Q3,2020,3,Cloud,Asia Pacific,35202524.0,20051064.92,36726,81.77,1621596,15151459.09,43.04,80,-48.55,10.16,75.56,1.76,21.71,38.85,54,90.67,43164880.79,22672710.99,47146059.18,18763541.85,129494642.37,68018132.97,42.86,3.0
2020-10-01,2020-Q4,2020,4,Cloud,Asia Pacific,89532372.24,56924803.07,40464,77.73,1217026,32607569.17,36.42,99,154.34,20.74,57.28,1.57,73.57,-24.95,92,85.73,54756753.65,25156425.54,43164880.79,16105558.68,219027014.62,100625702.14,85.71,6.0
2021-01-01,2021-Q1,2021,1,Cloud,Asia Pacific,50718678.8,31693485.86,35427,83.46,1232819,19025192.93,37.51,90,-43.35,14.15,60.03,1.6,41.14,1.3,50,64.08,60967203.23,27703562.61,54756753.65,13209494.01,50718678.8,19025192.93,85.71,6.0
2021-04-01,2021-Q2,2021,2,Cloud,Asia Pacific,44082117.07,15720148.34,19330,78.82,1980626,28361968.73,64.34,100,-13.09,12.58,180.42,2.8,22.26,60.66,47,74.8,54883923.03,23786547.48,60967203.23,8082494.5,94800795.86,47387161.66,28.57,2.0
2021-07-01,2021-Q3,2021,3,Cloud,Asia Pacific,26452854.75,9039782.86,11271,74.09,1339965,17413071.89,65.83,91,-39.99,7.68,192.63,2.93,19.74,-32.35,3,78.18,52696505.72,24351950.68,54883923.03,7320242.9,121253650.62,64800233.56,28.57,2.0
2021-10-01,2021-Q4,2021,4,Cloud,Asia Pacific,88545354.16,50516225.35,37624,90.98,504861,38029128.81,42.95,84,234.73,17.36,75.28,1.75,175.39,-62.32,47,88.86,52449751.19,25707340.59,52696505.72,9527495.4,209799004.78,102829362.36,71.43,5.0
2022-01-01,2022-Q1,2022,1,Cloud,Asia Pacific,29625256.94,17334715.91,20086,94.56,1309707,12290541.03,41.49,92,-66.54,7.61,70.9,1.71,22.62,159.42,24,91.86,47176395.73,24023677.61,52449751.19,11494056.94,29625256.94,12290541.03,85.71,6.0
2022-04-01,2022-Q2,2022,2,Cloud,Asia Pacific,61651345.65,19666367.81,32771,97.39,677870,41984977.84,68.1,85,108.1,16.27,213.49,3.13,90.95,-48.24,58,66.57,51568702.87,27429429.89,47176395.73,14761785.99,91276602.58,54275518.87,14.29,1.0
2022-07-01,2022-Q3,2022,3,Cloud,Asia Pacific,45401937.16,15424420.64,31474,98.44,1618328,29977516.52,66.03,95,-26.36,10.52,194.35,2.94,28.05,138.74,47,72.59,56305973.48,30570541.05,51568702.87,13171053.84,136678539.74,84253035.39,28.57,2.0
2022-10-01,2022-Q4,2022,4,Cloud,Asia Pacific,32625448.92,17021684.92,5544,89.98,1926252,15603764.01,47.83,99,-28.14,8.79,91.67,1.92,16.94,19.03,72,93.97,42325997.17,24964199.85,56305973.48,13700116.96,169303988.66,99856799.4,57.14,4.0
2023-01-01,2023-Q1,2023,1,Cloud,Asia Pacific,37153706.29,19138394.12,20607,80.14,743558,18015312.18,48.49,92,13.88,10.27,94.13,1.94,49.97,-61.4,16,67.13,44208109.51,26395392.64,42325997.17,12145668.3,37153706.29,18015312.18,71.43,5.0
2023-04-01,2023-Q2,2023,2,Cloud,Asia Pacific,30222697.27,9832999.25,27443,91.57,1890309,20389698.02,67.46,75,-18.65,7.44,207.36,3.07,15.99,154.22,61,81.78,36350947.41,20996572.68,44208109.51,6298040.67,67376403.56,38405010.19,14.29,1.0
2023-07-01,2023-Q3,2023,3,Cloud,Asia Pacific,80102162.04,42257192.14,18769,93.75,1237717,37844969.89,47.25,88,165.04,17.23,89.56,1.9,64.72,-34.52,35,94.38,45026003.63,22963436.02,36350947.41,10111592.02,147478565.6,76249980.09,57.14,4.0
2023-10-01,2023-Q4,2023,4,Cloud,Asia Pacific,86779458.61,56940512.55,13544,74.67,1461256,29838946.06,34.38,92,8.34,20.61,52.4,1.52,59.39,18.06,68,65.49,58564506.05,26522231.54,45026003.63,9113737.68,234258024.21,106088926.15,100.0,7.0
